brand,brand_rank,model,diameter_mm,thickness_mm,lug_to_lug_mm,caliber,price_tier,market_momentum,data_confidence,production_status,source_file
Richard Mille,38,RM 30-01,"42,00 × 49,94","17,59","49,94 (https://www.richardmille.com/collections/rm-30-01-declutchable-rotor)",RMAR2,15k_plus,macro_trend,набл.,active,richard-mille.md
Richard Mille,38,RM 65-01,"44,50 × 49,94","16,10","≈49,94 ([обзор](https://www.hodinkee.com/articles/intro-richard-mille-rm-65-01-automatic-split-seconds-chronograph-in-sunny-yellow-and-sky-blue))",RMAC4,15k_plus,macro_trend,набл.,active,richard-mille.md
Richard Mille,38,RM UP-01 Ferrari,"51,00 × 39,00","1,75",≈39 ([обзор](https://monochrome-watches.com/richard-milles-rm-up-01-ferrari-new-worlds-thinnest-mechanical-watch-introducing-specs-price/)),RMUP-01,15k_plus,insider_hype,набл.,active,richard-mille.md
Parmigiani Fleurier,39,Tonda PF Micro-Rotor 40,"40,0","7,8","≈45,6",PF703,15k_plus,evergreen,набл.,active,parmigiani-fleurier.md
Parmigiani Fleurier,39,Tonda PF GMT Rattrapante 40,"40,0","10,7","≈45,6",PF051,15k_plus,macro_trend,оц.класс,active,parmigiani-fleurier.md
Parmigiani Fleurier,39,Tonda PF Minute Rattrapante 40,"40,0","10,7","≈45,6",PF052,15k_plus,insider_hype,оц.класс,active,parmigiani-fleurier.md
Parmigiani Fleurier,39,Tonda PF Skeleton 40,"40,0","8,5","≈44,4, платиновая версия",PF777,15k_plus,insider_hype,набл.,active,parmigiani-fleurier.md
Parmigiani Fleurier,39,Tonda PF Sport Automatic 41,"41,0","9,8",≈47,PF770,15k_plus,macro_trend,оц.класс,active,parmigiani-fleurier.md
Parmigiani Fleurier,39,Tonda PF Sport Chronograph 42,"42,0","12,9",≈48,PF070-COSC,15k_plus,macro_trend,оц.класс,active,parmigiani-fleurier.md
Parmigiani Fleurier,39,Toric Petite Seconde 40.6,"40,6","8,8","≈46,5",PF780,15k_plus,evergreen,оц.класс,active,parmigiani-fleurier.md
Parmigiani Fleurier,39,Toric Chronograph Rattrapante 42.5,"42,5","14,4","≈48,5",PF361-SLIM,15k_plus,insider_hype,оц.класс,active,parmigiani-fleurier.md
Parmigiani Fleurier,39,Kalpa Hebdomadaire,"42,3 × 32,1","11,4; в другом источнике 11,7","≈49,3 ([обзор](https://www.beyondthedial.com/post/hands-on-review-parmigiani-fleurier-kalpa-hebdomadaire/))",PF110,15k_plus,contrarian,набл.,active,parmigiani-fleurier.md
Parmigiani Fleurier,39,Bugatti Type 370,"52,5 × 32,4","18,6; Révélation 19,6",≈48 ([обзор](https://watchesbysjx.com/2015/08/hands-on-with-the-parmigiani-bugatti-type-370-revelation-the-final-edition-of-the-original-sculptural-movement-with-original-photos-price.html)),PF370; PF370.01,15k_plus,insider_hype,набл.,active,parmigiani-fleurier.md
MB&F,40,HM3 Frog / 47 × 50,47 × 50,18,≈50,Girard-Perregaux base,15k_plus,contrarian,набл.,active,mb-and-f.md
MB&F,40,HM4 Thunderbolt / 52 × 54,52 × 54,24,"≈54, длина корпуса ([источник](https://www.watchprosite.com/independents/presenting-the-mb-f-horological-machine-no-4-thunderbolt-/16.631306.3955461/))",данные отсутствуют,15k_plus,evergreen,набл.,active,mb-and-f.md
MB&F,40,HM5 On The Road Again / 51.5 × 49,51.5 × 49,22.5,"≈51,5 ([обзор](https://www.watchprosite.com/digest/mbf-hm5-on-the-road-again-review/))","GP/Sowind gear train, Chronode",15k_plus,contrarian,набл.,active,mb-and-f.md
MB&F,40,HM7 Aquapod / 53.8 × 21.3,53.8 × 21.3; Platinum Red 58.8 × 21.3,21.3,"≈53,8, диаметр корпуса ([источник](https://www.mbandf.com/machines/mbf-machines/horological-machines/hm7))",внутренний калибр MB&F,15k_plus,evergreen,набл.,active,mb-and-f.md
MB&F,40,HM8 Mark 2 / 47 × 41.5,47 × 41.5,19,≈47 ([обзор](https://www.mbandf.com/machines/mbf-machines/horological-machines/hm8-mark-2)),MB&F HM8; GP03300 base,15k_plus,evergreen,набл.,active,mb-and-f.md
MB&F,40,HM11 Architect / 42 × 23,42 × 23,23,≈42 (https://www.mbandf.com/machines/mbf-machines/horological-machines/hm11),трёхмерный механизм MB&F,15k_plus,insider_hype,оц.класс,active,mb-and-f.md
MB&F,40,LM101 / 40 × 16,40,16; EVO 16.5,49,LM101,15k_plus,macro_trend,набл.,active,mb-and-f.md
MB&F,40,LM Perpetual / 44 × 17.5,44,17.5,"50,2 (https://watch.the1916company.com/videos/mb-f-lm-perpetual-03-wl-b)",интегрированный механизм; Стивен Макдоннелл,15k_plus,evergreen,набл.,active,mb-and-f.md
MB&F,40,LM Split Escapement / 44 × 17.5,44,17.5,"≈50,2",LM Split Escapement,15k_plus,insider_hype,оц.класс,active,mb-and-f.md
MB&F,40,LMX / 44 × 21.4,44,21.4,≈51 ([обзор](https://vivir.com/article/mb-f-lmx)),"трёхмерный механизм MB&F, ручной завод, три барабана",15k_plus,insider_hype,набл.,active,mb-and-f.md
Laurent Ferrier,41,[Galet Micro-Rotor](https://laurentferrier.ch/pages/our-story),40.0,10.7,≈47.5,FBN 229.01; 72; 21 600 пк/ч / 3 Гц,15k_plus,evergreen,смеш.,active,laurent-ferrier.md
Laurent Ferrier,41,[Classic Origin](https://laurentferrier.ch/pages/our-story),40.0,10.7,≈47.5,LF116.01; 80; 21 600 / 3 Гц,15k_plus,evergreen,смеш.,active,laurent-ferrier.md
Laurent Ferrier,41,[Sport Auto](https://laurentferrier.ch/pages/our-story),41.5,12.7,≈47.6,LF270.01; 72; 28 800 / 4 Гц,15k_plus,insider_hype,смеш.,active,laurent-ferrier.md
Laurent Ferrier,41,[Galet Micro-Rotor Régulateur École](https://laurentferrier.ch/pages/our-story),40.0,≈10.95,≈47.5,FBN 228.01; 72; 21 600 / 3 Гц,15k_plus,contrarian,смеш.,active,laurent-ferrier.md
Laurent Ferrier,41,[Grand Sport Tourbillon](https://laurentferrier.ch/pages/our-story),44.0,≈14.4,≈52.5,LF619.01; 80; 21 600 / 3 Гц,15k_plus,insider_hype,смеш.,active,laurent-ferrier.md
Kari Voutilainen,42,[Vingt-8](https://www.voutilainen.ch/item/28ti/),39.0,≈10.8,≈46.0,Calibre 28; 65; 18 000 / 2.5 Гц,15k_plus,evergreen,смеш.,waitlist,kari-voutilainen.md
Kari Voutilainen,42,[Observatoire](https://www.voutilainen.ch/item/28ti/),≈38.0,≈10.5,≈45.0,"Peseux 260, глубоко переработан; ≈44; 18 000 / 2.5 Гц",15k_plus,insider_hype,оц.класс,waitlist,kari-voutilainen.md
Kari Voutilainen,42,[28ti](https://www.voutilainen.ch/item/28ti/),39.0,13.4,≈46.0,Calibre 28 inverted; 65; 18 000 / 2.5 Гц,15k_plus,insider_hype,смеш.,waitlist,kari-voutilainen.md
Kari Voutilainen,42,[GMR](https://www.voutilainen.ch/item/28ti/),39.0,≈12.2,≈46.0,GMR/Calibre 28 family; 65; 18 000 / 2.5 Гц,15k_plus,insider_hype,смеш.,waitlist,kari-voutilainen.md
Kari Voutilainen,42,[Ji-Ku](https://www.voutilainen.ch/item/28ti/),≈39.0,≈11.5,≈46.0,Calibre 28; 65; 18 000 / 2.5 Гц,15k_plus,contrarian,оц.класс,waitlist,kari-voutilainen.md
Urwerk,43,[UR-105](https://www.urwerk.com/story),53.0 × 39.5,17.3,53.0,UR 5.02; 48; 28 800 / 4 Гц,15k_plus,evergreen,смеш.,active,urwerk.md
Urwerk,43,[UR-100V](https://www.urwerk.com/story),49.7 × 41.0,14.0,49.7,UR 12.02; 48; 28 800 / 4 Гц,15k_plus,insider_hype,смеш.,active,urwerk.md
Urwerk,43,[UR-110](https://www.urwerk.com/story),51.0 × 47.0,16.0,51.0,UR 9.01; 39; 28 800 / 4 Гц,15k_plus,evergreen,смеш.,active,urwerk.md
Urwerk,43,[UR-220](https://www.urwerk.com/story),53.6 × 43.8,14.8,53.6,UR 7.20; 48; 28 800 / 4 Гц,15k_plus,insider_hype,смеш.,active,urwerk.md
Urwerk,43,[UR-230 Eagle](https://www.urwerk.com/story),53.55 × 44.81,18.38,53.55,UR 7.30; 48; 28 800 / 4 Гц,15k_plus,insider_hype,смеш.,active,urwerk.md
De Bethune,44,[DB28](https://www.debethune.ch/historical-catalog/),42.6,≈9.3 без стекла,≈45–53,DB2115; 144; 28 800 / 4 Гц,15k_plus,insider_hype,смеш.,active,de-bethune.md
De Bethune,44,[DB25](https://www.debethune.ch/historical-catalog/),40.0–44.0,≈8.8–12.0,≈47–51,DB2105 family; 144; 28 800 / 4 Гц,15k_plus,evergreen,смеш.,active,de-bethune.md
De Bethune,44,[DBS](https://www.debethune.ch/historical-catalog/),≈45.0 × 42.5,≈12.5,≈52,DB2016 family; 144; 28 800 / 4 Гц,15k_plus,contrarian,оц.класс,active,de-bethune.md
De Bethune,44,[DB Kind of Two](https://www.debethune.ch/historical-catalog/),43.3,11.4,≈47–53,DB2517; 120; 28 800 / 4 Гц,15k_plus,insider_hype,смеш.,active,de-bethune.md
De Bethune,44,[Starry Varius](https://www.debethune.ch/historical-catalog/),40.0,≈8.8,≈47,DB2005/DB2105 family; 144; 28 800 / 4 Гц,15k_plus,evergreen,смеш.,active,de-bethune.md
Czapek & Cie,45,[Antarctique](https://www.czapek.com/we-collect-rare-people),40.5,10.6,≈45.0,SXH5; 60; 28 800 / 4 Гц,15k_plus,macro_trend,смеш.,active,czapek.md
Czapek & Cie,45,[Quai des Bergues](https://www.czapek.com/we-collect-rare-people),42.5,≈11.9,≈48.7,SXH1/Chronode; 168; 21 600 / 3 Гц,15k_plus,evergreen,смеш.,active,czapek.md
Czapek & Cie,45,[Place Vendôme](https://www.czapek.com/we-collect-rare-people),43.5,≈13.5,≈50.0,SXH2/Chronode; 60; 21 600 / 3 Гц,15k_plus,contrarian,смеш.,active,czapek.md
Czapek & Cie,45,[Promenade](https://www.czapek.com/we-collect-rare-people),38.0,≈10.8,≈43.5,SXH5; 60; 28 800 / 4 Гц,15k_plus,insider_hype,смеш.,active,czapek.md
Czapek & Cie,45,[Faubourg de Cracovie](https://www.czapek.com/we-collect-rare-people),41.5,≈11.5,≈48.0,SXH3/Vaucher; 65; 36 000 / 5 Гц,15k_plus,contrarian,смеш.,active,czapek.md
Arnold & Son,46,[Perpetual Moon](https://www.arnoldandson.com/all-watches/),41.5,≈11.3,≈48.0,A&S1512; 90; 21 600 / 3 Гц,15k_plus,contrarian,смеш.,active,arnold-son.md
Arnold & Son,46,[DSTB](https://www.arnoldandson.com/all-watches/),42.0,≈12.95,≈49.0,A&S6003; 50; 28 800 / 4 Гц,15k_plus,contrarian,смеш.,active,arnold-son.md
Arnold & Son,46,[UTTE](https://www.arnoldandson.com/all-watches/),42.0,8.34,≈49.0,A&S8200; 90; 21 600 / 3 Гц,15k_plus,contrarian,смеш.,active,arnold-son.md
Arnold & Son,46,[Longitude Titanium](https://www.arnoldandson.com/all-watches/),42.5,≈12.25,≈49.0,A&S6302; 60; 28 800 / 4 Гц,15k_plus,macro_trend,смеш.,active,arnold-son.md
Arnold & Son,46,[Globetrotter](https://www.arnoldandson.com/all-watches/),45.0,≈17.2,≈50.5,A&S6022; 45; 28 800 / 4 Гц,15k_plus,contrarian,смеш.,active,arnold-son.md
Angelus,47,[Chronodato (historic)](https://angelus-watches.com/heritage/),≈38.0,≈13.0,≈46.0,Angelus 217 family; ≈45; 18 000 / 2.5 Гц,15k_plus,evergreen,оц.класс,active,angelus.md
Angelus,47,[U10 Tourbillon Lumière](https://angelus-watches.com/heritage/),62.75 × 38.0,≈15.0,62.75,A-100; 90; 28 800 / 4 Гц,15k_plus,contrarian,смеш.,active,angelus.md
Angelus,47,[U20 Ultra-Skeleton Tourbillon](https://angelus-watches.com/heritage/),42.0,≈10.3,≈49.0,A-250; 90; 28 800 / 4 Гц,15k_plus,contrarian,смеш.,active,angelus.md
Angelus,47,[U30 Tourbillon Rattrapante](https://angelus-watches.com/heritage/),47.0,≈15.0,≈54.0,A-150; 45; 28 800 / 4 Гц,15k_plus,contrarian,смеш.,active,angelus.md
Angelus,47,[Chronodate](https://angelus-watches.com/heritage/),42.5,≈14.25,≈49.0,A-500; 60; 28 800 / 4 Гц,15k_plus,contrarian,смеш.,active,angelus.md
Bovet 1822,48,[Amadeo Fleurier Virtuoso](https://www.bovet.com/timepiece/battista/),44.0,≈15.6,≈50.0,Dimier/Bovet Virtuoso; 120; 21 600 / 3 Гц,15k_plus,contrarian,смеш.,active,bovet.md
Bovet 1822,48,[Récital 22 Grand Récital](https://www.bovet.com/timepiece/battista/),46.3,≈19.6,≈53.0,17DM03-TEL; 216; 18 000 / 2.5 Гц,15k_plus,insider_hype,смеш.,active,bovet.md
Bovet 1822,48,[Récital 26 Brainstorm](https://www.bovet.com/timepiece/battista/),≈47.8,≈15.5,≈55.0,17DM06-DT; 120; 18 000 / 2.5 Гц,15k_plus,insider_hype,оц.класс,active,bovet.md
Bovet 1822,48,[Battista Tourbillon](https://www.bovet.com/timepiece/battista/),45.6,≈16.0,≈52.0,Bovet Battista calibre; 240; ≈18 000 / 2.5 Гц,15k_plus,insider_hype,смеш.,active,bovet.md
Bovet 1822,48,[Virtuoso V](https://www.bovet.com/timepiece/battista/),43.5,≈15.0,≈50.0,13BM12AI; 120; 21 600 / 3 Гц,15k_plus,contrarian,смеш.,active,bovet.md
Speake-Marin,49,One&Two Openworked,38/42,10.5,≈46/50,"SMA01, микроротор",15k_plus,insider_hype,смеш.,active,speake-marin.md
Speake-Marin,49,Ripples,40.3,9.2,≈47,"SMA03-T, микроротор",15k_plus,macro_trend,смеш.,active,speake-marin.md
Speake-Marin,49,Academic,38/42,10.5,≈46/50,"SMA03, микроротор",15k_plus,contrarian,смеш.,active,speake-marin.md
Speake-Marin,49,One&Two Openworked Dual Time,38/42,12.35,≈46/50,"SMA02, микроротор",15k_plus,insider_hype,смеш.,active,speake-marin.md
Speake-Marin,49,Légèreté,38/42,≈11,≈46/50,SMA01/SMA03 по версии,15k_plus,contrarian,смеш.,active,speake-marin.md
Chronoswiss,50,Regulator Classic,41,12.7,≈48,"C.295, автоматический",5k_10k,evergreen,смеш.,active,chronoswiss.md
Chronoswiss,50,Timemaster Chronograph,44,15.3,≈52,"C.741, база Valjoux 7750",5k_10k,contrarian,смеш.,active,chronoswiss.md
Chronoswiss,50,Open Gear ReSec,44,13.35,≈52,C.301/C.6005 по версии,10k_15k,contrarian,смеш.,active,chronoswiss.md
Chronoswiss,50,Delphis,42,14.5,≈49,"C.301, jumping hour/retrograde",15k_plus,insider_hype,смеш.,active,chronoswiss.md
Chronoswiss,50,Flying Regulator Open Gear,41,12.7,≈48,"C.299, автоматический",15k_plus,insider_hype,смеш.,active,chronoswiss.md
Doxa,51,SUB 300T,42.5,13.65,45,Sellita SW200-1,1k_2k,evergreen,смеш.,active,doxa.md
Doxa,51,SUB 200,42,13.8,46,Sellita SW200-1,1k_2k,macro_trend,смеш.,active,doxa.md
Doxa,51,SUB 600T,40,14.15,47.6,Sellita SW200-1,1k_2k,insider_hype,смеш.,active,doxa.md
Doxa,51,SUB 300,42.5,13.4,45,ETA 2824-2 COSC / Sellita по выпуску,2k_5k,evergreen,смеш.,active,doxa.md
Doxa,51,SUB 1500T,45,16,≈48,ETA 2892-A2,2k_5k,contrarian,смеш.,active,doxa.md
Squale,52,1521,42,12.5,48,Sellita SW200-1,1k_2k,evergreen,смеш.,active,squale.md
Squale,52,1545,40,12.5,47,Sellita SW200-1,1k_2k,evergreen,смеш.,active,squale.md
Squale,52,Super-Squale / Super-Matic,38–42,≈12–13,≈46–49,Sellita SW200-1/SW300-1,1k_2k,macro_trend,смеш.,active,squale.md
Squale,52,Sub-39,39,12,48.5,Sellita SW200-1; Soprod C125 GMT,1k_2k,macro_trend,смеш.,active,squale.md
Squale,52,2002,44,15.8,≈49,Sellita SW200-1,2k_5k,contrarian,смеш.,active,squale.md
Nivada Grenchen,53,Antarctic,35,10.1,41.9,Soprod P024 / Landeron по версии,1k_2k,macro_trend,смеш.,revived,nivada-grenchen.md
Nivada Grenchen,53,Antarctic Diver,38,12.9,45,Soprod P024,1k_2k,macro_trend,смеш.,revived,nivada-grenchen.md
Nivada Grenchen,53,Depthmaster,39,13,47,Soprod P024,1k_2k,contrarian,смеш.,revived,nivada-grenchen.md
Nivada Grenchen,53,Super Antarctic,38,11.1,45,Soprod P024,1k_2k,evergreen,смеш.,revived,nivada-grenchen.md
Nivada Grenchen,53,Chronomaster Aviator Sea Diver,38,13.75,46.5,"Sellita SW510 BH B, ручной/авто по версии",2k_5k,insider_hype,смеш.,revived,nivada-grenchen.md
Vulcain,54,Skindiver Nautique,38,12.2,44.6,ETA 2824-2 / Sellita SW200-1,1k_2k,macro_trend,смеш.,revived,vulcain.md
Vulcain,54,Cricket Presidents,39,12.7,47.6,"Vulcain Cricket V-10, ручной",5k_10k,evergreen,смеш.,revived,vulcain.md
Vulcain,54,Cricket Nautical,42,17.6,≈52,V-10/V-13 alarm,5k_10k,contrarian,смеш.,revived,vulcain.md
Vulcain,54,50s Presidents,42,12.4,≈50,V-11 automatic alarm,5k_10k,contrarian,смеш.,revived,vulcain.md
Vulcain,54,Aviator Cricket,42,≈14.5,≈50,V-11 automatic alarm,5k_10k,contrarian,смеш.,revived,vulcain.md
Yema,55,Rallygraf,39,11,47,Seiko VK64 meca-quartz,300_500,evergreen,смеш.,active,yema.md
Yema,55,Superman 500,39/41,13.4,48/49.5,YEMA2000,1k_2k,evergreen,смеш.,active,yema.md
Yema,55,Superman Heritage,39,13,48,Sellita SW200-1 / YEMA2000 по версии,1k_2k,evergreen,смеш.,active,yema.md
Yema,55,Navygraf,39,12.15,47,YEMA2000/CMM.10 по версии,1k_2k,macro_trend,смеш.,active,yema.md
Yema,55,Wristmaster Traveller,39,9,43.5,CMM.20 micro-rotor,2k_5k,insider_hype,смеш.,active,yema.md
Fortis,56,Flieger F-39/F-41,39/41,12.5,50/52,"UW-30 Performance, база Sellita SW200-1",2k_5k,evergreen,смеш.,active,fortis.md
Fortis,56,Marinemaster M-40/M-44,40/44,12/15,≈49/53,UW-30/Sellita; WERK 11 по M-44,2k_5k,macro_trend,смеш.,active,fortis.md
Fortis,56,Spacematic,40–42,≈11–13,≈48–50,ETA 2836-2 / Sellita по версии,2k_5k,contrarian,смеш.,active,fortis.md
Fortis,56,Stratoliner S-41,41,14.5,50,"WERK 17, La Joux-Perret column-wheel",5k_10k,insider_hype,смеш.,active,fortis.md
Fortis,56,Novonaut N-42,42,15.5,51,"WERK 7, автоматический хронограф",5k_10k,insider_hype,смеш.,active,fortis.md
Junghans,57,Max Bill Automatic,38,10,≈40.0,J800.1 (ETA/Sellita-база),1k_2k,evergreen,смеш.,active,junghans.md
Junghans,57,Max Bill Handaufzug,34,9,≈37.5,J805.1 (ETA/Peseux 7001-база),1k_2k,evergreen,смеш.,active,junghans.md
Junghans,57,Meister Hand-Winding,37.7,7.3,≈44,J815.1 (ETA/Peseux 7001-база),1k_2k,contrarian,смеш.,active,junghans.md
Junghans,57,Form A,39.3,9.5,≈43.5,J800.2 (Sellita SW200-база),1k_2k,contrarian,смеш.,active,junghans.md
Junghans,57,Max Bill MEGA Solar,38,9,≈40,J101.85 radio/solar,1k_2k,macro_trend,смеш.,active,junghans.md
Stowa,58,Partitio,37,≈10.2,≈46.8,Sellita SW200-1,500_1k,contrarian,смеш.,active,stowa.md
Stowa,58,Flieger Classic 36/40,36/40,≈10.2,≈44.6/48.6,Sellita SW200-1,1k_2k,evergreen,смеш.,active,stowa.md
Stowa,58,Flieger Verus,40,≈10.2,≈48.6,Sellita SW200-1,1k_2k,contrarian,смеш.,active,stowa.md
Stowa,58,Marine Original,41,≈12,≈50.2,ETA/Unitas 6498-1,1k_2k,evergreen,смеш.,active,stowa.md
Stowa,58,Antea 365,36.5,≈9.2,≈45.6,Sellita SW200-1,1k_2k,evergreen,смеш.,active,stowa.md
Laco,59,Augsburg,42,≈12,≈50,Miyota 821A/82S0,300_500,evergreen,смеш.,active,laco.md
Laco,59,Aachen,42,≈12,≈50,Miyota 821A/82S0,300_500,evergreen,смеш.,active,laco.md
Laco,59,Paderborn,42,≈13,≈50,Sellita SW200-1,1k_2k,evergreen,смеш.,active,laco.md
Laco,59,Squad Watch,46,≈14,≈55,Sellita SW200-1,1k_2k,contrarian,смеш.,active,laco.md
Laco,59,Flieger Original Erbstück 45,45,≈13,≈53,Sellita SW200-1,2k_5k,insider_hype,смеш.,active,laco.md
Hanhart,60,Pioneer MonoScope,45,≈16,≈55,"Sellita SW500, mono-pusher conversion",2k_5k,contrarian,смеш.,active,hanhart.md
Hanhart,60,Pioneer TwinControl,42,≈15,≈52,Sellita SW500,2k_5k,evergreen,смеш.,active,hanhart.md
Hanhart,60,417 ES 1954,39,13.3,≈46,Sellita SW510 M,2k_5k,insider_hype,смеш.,active,hanhart.md
Hanhart,60,Primus Racer,44,≈15,≈53,Sellita SW500,2k_5k,contrarian,смеш.,active,hanhart.md
Hanhart,60,414 ES,39/42,≈13.5,≈46/49,AMT5100 M flyback,2k_5k,insider_hype,смеш.,active,hanhart.md
Tutima Glashütte,61,M2 Seven Seas,44,≈13,≈52,Tutima 330 (ETA/Sellita-база),2k_5k,evergreen,смеш.,active,tutima.md
Tutima Glashütte,61,Grand Flieger,43,≈13,≈51,Tutima 330/Cal. 310 (ETA-база),2k_5k,contrarian,смеш.,active,tutima.md
Tutima Glashütte,61,Patria,43,≈11.2,≈50,"Tutima 617, ручной in-house",5k_10k,contrarian,смеш.,active,tutima.md
Tutima Glashütte,61,Saxon One Chronograph,43,≈15.7,≈50.5,Tutima 521 (модуль/ETA-база),5k_10k,contrarian,смеш.,active,tutima.md
Tutima Glashütte,61,Tempostopp,43,≈13.5,≈51,"Tutima 659, ручной flyback in-house",15k_plus,insider_hype,смеш.,active,tutima.md
Mühle Glashütte,62,29er,42.4,≈11.3,≈50,"SW200-1, Spechthalsregulierung",1k_2k,evergreen,смеш.,active,muhle-glashutte.md
Mühle Glashütte,62,Panova,40,≈10.4,≈47,"SW200-1, Spechthalsregulierung",1k_2k,macro_trend,смеш.,active,muhle-glashutte.md
Mühle Glashütte,62,Teutonia II,41,≈12.3,≈49,"SW240-1, Spechthalsregulierung",2k_5k,contrarian,смеш.,active,muhle-glashutte.md
Mühle Glashütte,62,Seebataillon GMT,44,≈12.7,≈52.5,"ETA 2893/SW330, Spechthalsregulierung",2k_5k,contrarian,смеш.,active,muhle-glashutte.md
Mühle Glashütte,62,S.A.R. Rescue-Timer,42,≈13.5,≈50,"SW200-1, Spechthalsregulierung",2k_5k,evergreen,смеш.,active,muhle-glashutte.md
Certina,63,DS Action Diver 38,38,≈12.2,≈45,Powermatic 80 / ETA C07.611,500_1k,macro_trend,смеш.,active,certina.md
Certina,63,DS PH200M,42.8,≈11.9,≈52,Powermatic 80 / ETA C07.611,500_1k,evergreen,смеш.,active,certina.md
Certina,63,DS-1,40,≈10.9,≈47.7,Powermatic 80,500_1k,evergreen,смеш.,active,certina.md
Certina,63,DS Super PH500M,43,≈14.9,≈48,Powermatic 80 Nivachron,500_1k,insider_hype,смеш.,active,certina.md
Certina,63,DS-2 Chronograph,43.3,≈15.3,≈50.5,ETA A05.H31,1k_2k,contrarian,смеш.,active,certina.md
Mido,64,Commander 1959,37,≈11.2,≈43,Mido 80 / ETA C07.621,500_1k,evergreen,смеш.,active,mido.md
Mido,64,Multifort TV Big Date,40 x 39.2,≈11.5,≈46,Mido 80 / ETA C07.651,1k_2k,macro_trend,смеш.,active,mido.md
Mido,64,Ocean Star Tribute,40.5,≈13.4,≈47,Mido 80 / ETA C07.621,1k_2k,evergreen,смеш.,active,mido.md
Mido,64,Baroncelli Heritage,39,≈7.3,≈44,ETA 2892/Mido 1192,1k_2k,contrarian,смеш.,active,mido.md
Mido,64,Ocean Star GMT,44,≈13.3,≈50,Mido 80 GMT / ETA C07.661,1k_2k,macro_trend,смеш.,active,mido.md
Alpina,65,Alpiner 4 Automatic,44,13.15,≈51,AL-525,1k_2k,evergreen,смеш.,active,alpina.md
Alpina,65,Alpiner Extreme Automatic 39,39,11.5,42.5,AL-525 / Sellita-class,1k_2k,macro_trend,смеш.,active,alpina.md
Alpina,65,Seastrong Diver 300,44,≈13.5,49,AL-525 / SW200,1k_2k,evergreen,смеш.,active,alpina.md
Alpina,65,Startimer Pilot Automatic 40,40,10.14,≈48,AL-525 / La Joux-Perret base,1k_2k,evergreen,смеш.,active,alpina.md
Alpina,65,Alpiner Heritage Carrée Automatic,32.5×39,9.71,47,AL-530 / SW261,1k_2k,insider_hype,смеш.,active,alpina.md
Frederique Constant,66,Slimline Moonphase Manufacture 39,38.8,11.17,43,FC-703,2k_5k,evergreen,смеш.,active,frederique-constant.md
Frederique Constant,66,Classic Heart Beat Manufacture,39,10.39,≈46,FC-930-3,2k_5k,insider_hype,смеш.,active,frederique-constant.md
Frederique Constant,66,Highlife Automatic COSC 39,39,10.34,≈44,FC-303 / SW200-1,2k_5k,macro_trend,смеш.,active,frederique-constant.md
Frederique Constant,66,Yacht Timer Regatta Countdown,42,≈14,≈50,FC-380,2k_5k,contrarian,смеш.,active,frederique-constant.md
Frederique Constant,66,Highlife Perpetual Calendar Manufacture,41,12.65,≈45,FC-775,5k_10k,insider_hype,смеш.,active,frederique-constant.md
Maurice Lacroix,67,Aikon Automatic 39 / 42,39/42,10.8/≈11,45/≈48,ML115 / SW200-1,1k_2k,macro_trend,смеш.,active,maurice-lacroix.md
Maurice Lacroix,67,Aikon Quartz Chronograph,42,11,≈48,"Swiss quartz, Ronda-class",1k_2k,evergreen,смеш.,active,maurice-lacroix.md
Maurice Lacroix,67,Aikon Automatic Chronograph,44,15,≈50,ML112 / Valjoux 7750,2k_5k,macro_trend,смеш.,active,maurice-lacroix.md
Maurice Lacroix,67,Pontos S Diver 42,42,12.8,50,ML115 / SW200-1,2k_5k,evergreen,смеш.,active,maurice-lacroix.md
Maurice Lacroix,67,Masterpiece Square Wheel Retrograde,43,15,≈51,ML258 manufacture,5k_10k,contrarian,смеш.,active,maurice-lacroix.md
Baume & Mercier,68,Classima Automatic 40,40,8.95,≈47,Sellita SW200-class,1k_2k,evergreen,смеш.,active,baume-mercier.md
Baume & Mercier,68,Clifton Baumatic 39,39,11.2,44,BM13-1975A,2k_5k,evergreen,смеш.,active,baume-mercier.md
Baume & Mercier,68,Riviera Baumatic 42,42,10.66,≈49,BM13-1975A,2k_5k,macro_trend,смеш.,active,baume-mercier.md
Baume & Mercier,68,Hampton Dual Time,31×48,10.8,48,Soprod TT651,2k_5k,contrarian,смеш.,active,baume-mercier.md
Baume & Mercier,68,Riviera Chronograph 43,43,14.1,≈52,Valjoux 7750,2k_5k,contrarian,смеш.,active,baume-mercier.md
Ebel,69,Beluga Lady,26,≈6.5,≈32,Ebel 258 quartz,1k_2k,contrarian,смеш.,active,ebel.md
Ebel,69,Sport Classic Automatic 37,37,8.63,41,Sellita SW300-1,2k_5k,insider_hype,смеш.,active,ebel.md
Ebel,69,Wave Gent Automatic,40,10.9,46.8,ETA 2824-2,2k_5k,contrarian,смеш.,active,ebel.md
Ebel,69,Discovery Chronograph,43,≈14.1,≈49,Ebel 750 / Valjoux 7750,2k_5k,contrarian,смеш.,active,ebel.md
Ebel,69,1911 BTR Chronograph,44.5,13,≈50,Ebel 137,5k_10k,contrarian,смеш.,active,ebel.md
Eberhard & Co.,70,Champion V,42.8,14.45,≈50,LJP 8210,2k_5k,contrarian,смеш.,active,eberhard.md
Eberhard & Co.,70,Scafograf 300,43,12.6,≈53,ETA 2824-2,2k_5k,evergreen,смеш.,active,eberhard.md
